date,prev_settlement,low,high,prev_close,limit_up,open,total_turnover,limit_down,close,open_interest,settlement,volume,dominant_id,pos,base_balance,chg,strategy_balance,drawdown,return,empty,long,short
2020-03-11,94.895,94.695,95.165,101.2,96.92,94.705,58210649800.0,92.87,95.155,76951,95.075,57432,T2006,1.0,1.0444542011964217,0.0034800949116793323,1.0112652106913227,-0.004238174968606234,0.003474053394027982,,95.155,
2020-03-12,95.075,94.92,95.3,101.53,97.1,95.11,65267027450.0,93.05,94.94,75950,95.105,64284,T2006,1.0,1.0420942868119203,-0.0022594713887867934,1.0089802858812902,-0.006488070322310802,-0.0022620278458187915,,94.94,
2020-03-13,95.105,94.48,95.17,101.315,97.13,95.03,97964452300.0,93.08,94.62,75734,94.675,96807,T2006,1.0,1.0385818561001043,-0.003370549820939428,1.0055794675593817,-0.009836751778987018,-0.0033762429201697384,,94.62,
2020-03-16,94.675,94.435,94.995,100.995,96.695,94.905,76366181300.0,92.655,94.69,74389,94.615,75564,T2006,-1.0,1.039350200318314,0.000739801310505106,1.006323396567299,-0.009104227710339141,0.0007395277924066453,,,94.69
2020-03-17,94.615,94.235,94.65,101.065,96.63,94.625,77071714350.0,92.6,94.245,78977,94.35,76465,T2006,-1.0,1.0344657263596948,-0.004699545886577172,1.0110526595462035,-0.0044474675596484214,0.004688537496955326,,,94.245
2020-03-18,94.35,94.105,94.715,100.62,96.36,94.105,75067728850.0,92.34,94.65,81812,94.645,74457,T2006,-1.0,1.038911146479337,0.004297310202132643,1.0067078526374422,-0.008725665614063294,-0.004306570177799914,,,94.65
2020-03-19,94.645,94.16,94.67,101.025,96.665,94.555,78683474100.0,92.625,94.275,83316,94.255,78058,T2006,-1.0,1.0347950167389277,-0.003961965134706813,1.0106963940504272,-0.004798271262296594,0.003954137219980473,,,94.275
2020-03-20,94.255,94.275,94.605,100.65,96.265,94.34,56331833950.0,92.245,94.45,84317,94.435,55854,T2006,-1.0,1.036715877284452,0.0018562715460090917,1.0088202670924975,-0.006645635913891446,-0.0018579965530868246,,,94.45
2020-03-23,94.435,94.655,94.97,100.86,96.45,94.705,52692982300.0,92.42,94.955,85879,94.91,52057,T2006,-1.0,1.0422589320015365,0.005346744309158158,1.0034263630704572,-0.011956847707046303,-0.005361089302032674,,,94.955
2020-03-24,94.91,94.805,95.205,101.33,96.935,94.915,65760958250.0,92.885,95.0,86967,95.05,64862,T2006,-1.0,1.0427528675703859,0.00047390869359165144,1.002950830593619,-0.012425089946561663,-0.0004740210238074948,,,95.0
2020-03-25,95.05,94.79,95.415,101.375,97.075,94.875,69479280400.0,93.025,95.195,89017,95.17,68489,T2006,1.0,1.0448932550353986,0.002052631578947306,1.000892142046611,-0.014452217393513545,-0.0020547411143738764,,95.195,
2020-03-26,95.17,95.225,95.495,101.57,97.2,95.255,56728646350.0,93.14,95.395,90988,95.395,55744,T2006,1.0,1.0470885242302836,0.0021009506801827893,1.0029949670732334,-0.012381630109293829,0.002098746769634244,,95.395,
2020-03-27,95.395,95.145,95.52,101.77,97.43,95.465,63188503350.0,93.36,95.175,89626,95.195,62155,T2006,1.0,1.0446737281159102,-0.0023062005346191627,1.0006818595439488,-0.014659276121935405,-0.0023088639107129477,,95.175,
2020-03-30,95.195,95.015,95.41,101.55,97.225,95.075,66867782900.0,93.165,95.24,88851,95.23,65836,T2006,1.0,1.0453871906042478,0.0006829524560021394,1.0013652776776012,-0.013986335254563942,0.00068271935010102,,95.24,
2020-03-31,95.23,95.065,95.555,101.615,97.26,95.185,57281777650.0,93.2,95.55,88226,95.485,56310,T2006,1.0,1.0487898578563195,0.00325493490130202,1.0046246564688661,-0.010776924964023271,0.0032496490676200587,,95.55,
2020-04-01,95.485,95.575,95.825,101.925,97.52,95.725,57245474500.0,93.45,95.755,88485,95.735,56070,T2006,1.0,1.0510400087810767,0.0021454735740449316,1.006780052121154,-0.008654572997698007,0.0021431753322407937,,95.755,
